case_id,query_id,positive_db_id,query_image_path,positive_db_image_path,query_caption,positive_db_caption,second_verifier_same_place,second_verifier_confidence_1_to_3,second_verifier_notes
14,159,131,queries/@0@243@@@@@000243@@@@@@@@.jpg,database/@0@218@@@@@000218@@@@@@@@.jpg,a person riding on a snow covered road,a view of a train track with cars parked on it,,,
15,171,143,queries/@0@254@@@@@000254@@@@@@@@.jpg,database/@0@229@@@@@000229@@@@@@@@.jpg,a snow covered road next to a body of water,a view from a train window looking down the tracks,,,
16,172,145,queries/@0@255@@@@@000255@@@@@@@@.jpg,database/@0@230@@@@@000230@@@@@@@@.jpg,a train traveling down the tracks in the snow,a train traveling down the tracks next to a forest,,,
17,176,149,queries/@0@259@@@@@000259@@@@@@@@.jpg,database/@0@234@@@@@000234@@@@@@@@.jpg,a train traveling down the tracks in the snow,a train traveling down tracks next to a forest,,,
18,190,162,queries/@0@271@@@@@000271@@@@@@@@.jpg,database/@0@246@@@@@000246@@@@@@@@.jpg,an image of the moon in the night sky,a view from a train window looking down the tracks,,,
19,193,165,queries/@0@274@@@@@000274@@@@@@@@.jpg,database/@0@249@@@@@000249@@@@@@@@.jpg,a train traveling along a snowy mountain side,a view from a train window looking down the tracks,,,
20,195,168,queries/@0@276@@@@@000276@@@@@@@@.jpg,database/@0@251@@@@@000251@@@@@@@@.jpg,a train traveling along a snowy river,a view from a train window looking down at a river,,,
21,212,184,queries/@0@291@@@@@000291@@@@@@@@.jpg,database/@0@266@@@@@000266@@@@@@@@.jpg,a train traveling down the tracks in the snow,a view from a train window looking down the tracks,,,
22,218,191,queries/@0@297@@@@@000297@@@@@@@@.jpg,database/@0@272@@@@@000272@@@@@@@@.jpg,a snow covered road next to a body of water,a view from a train window looking down the tracks,,,
23,237,208,queries/@0@313@@@@@000313@@@@@@@@.jpg,database/@0@288@@@@@000288@@@@@@@@.jpg,a view of a train going through the snow covered mountains,a train traveling down the tracks next to a body of water,,,
24,248,219,queries/@0@323@@@@@000323@@@@@@@@.jpg,database/@0@298@@@@@000298@@@@@@@@.jpg,a person riding a snowboard down a hill,a train going through a tunnel in the dark,,,
25,252,225,queries/@0@327@@@@@000327@@@@@@@@.jpg,database/@0@302@@@@@000302@@@@@@@@.jpg,a person riding a snowboard down a hill,a train traveling down the tracks next to a body of water,,,
26,256,228,queries/@0@330@@@@@000330@@@@@@@@.jpg,database/@0@305@@@@@000305@@@@@@@@.jpg,a person riding a snowboard down a hill,a train traveling along a body of water,,,
27,269,241,queries/@0@342@@@@@000342@@@@@@@@.jpg,database/@0@317@@@@@000317@@@@@@@@.jpg,a person riding a snowboard down a snowy slope,a train traveling down the tracks in the mountains,,,
28,274,247,queries/@0@347@@@@@000347@@@@@@@@.jpg,database/@0@322@@@@@000322@@@@@@@@.jpg,a view from a train window of a snowy landscape,a train traveling down the tracks in the mountains,,,
29,280,252,queries/@0@352@@@@@000352@@@@@@@@.jpg,database/@0@327@@@@@000327@@@@@@@@.jpg,a train traveling down the tracks in the snow,a view from a train window looking down the tracks,,,
30,284,257,queries/@0@356@@@@@000356@@@@@@@@.jpg,database/@0@331@@@@@000331@@@@@@@@.jpg,a person riding a snowboard down a hill,the moon is seen in the dark sky,,,
31,295,268,queries/@0@366@@@@@000366@@@@@@@@.jpg,database/@0@341@@@@@000341@@@@@@@@.jpg,a person riding a snowboard down a snowy slope,a train traveling through the mountains on a cloudy day,,,
32,300,272,queries/@0@370@@@@@000370@@@@@@@@.jpg,database/@0@345@@@@@000345@@@@@@@@.jpg,a snow covered mountain,a train traveling down the tracks on a cloudy day,,,
33,314,286,queries/@0@383@@@@@000383@@@@@@@@.jpg,database/@0@358@@@@@000358@@@@@@@@.jpg,a view of a train going through the snow,a train traveling down the tracks near a forest,,,
34,318,291,queries/@0@387@@@@@000387@@@@@@@@.jpg,database/@0@362@@@@@000362@@@@@@@@.jpg,a person riding a snowboard down a hill,a train traveling down the tracks in the mountains,,,
35,319,292,queries/@0@388@@@@@000388@@@@@@@@.jpg,database/@0@363@@@@@000363@@@@@@@@.jpg,a snow covered road with trees in the background,a train traveling down the tracks in the mountains,,,
36,329,302,queries/@0@397@@@@@000397@@@@@@@@.jpg,database/@0@372@@@@@000372@@@@@@@@.jpg,a train traveling through a snowy forest filled with trees,a train traveling through a forest filled with trees,,,
37,340,133,queries/@0@46@@@@@000046@@@@@@@@.jpg,database/@0@21@@@@@000021@@@@@@@@.jpg,a person riding a snowboard down a snowy slope,a train traveling down the tracks next to a lake,,,
38,350,233,queries/@0@55@@@@@000055@@@@@@@@.jpg,database/@0@30@@@@@000030@@@@@@@@.jpg,the moon is seen in the dark sky,a train traveling down the tracks next to a lake,,,
39,355,0,queries/@0@5@@@@@000005@@@@@@@@.jpg,database/@0@0@@@@@000000@@@@@@@@.jpg,a black background with a white line in the middle of the screen,a train traveling down the tracks in the woods,,,
40,362,335,queries/@0@66@@@@@000066@@@@@@@@.jpg,database/@0@41@@@@@000041@@@@@@@@.jpg,a wooden bench in the middle of a dark room,a train traveling down the tracks next to a river,,,
